Datetime Latitude Longitude
2019092811 82.85898 122.39533
2019092812 82.90819 122.93839
2019092813 83.01568 123.43371
2019092814 83.08311 124.04678
2019092815 83.18634 124.62814
2019092816 83.27913 125.34736
2019092817 83.36799 125.85119
2019092818 83.47084 126.00416
2019092819 83.56778 126.40431
2019092820 83.66563 126.79384
2019092821 83.76252 127.17302
2019092822 83.85358 127.71647
2019092823 83.94145 128.31987
2019092900 84.04065 128.54404
2019092901 84.15035 129.00276
2019092902 84.18624 129.13993
2019092903 84.27307 129.8133
2019092904 84.38129 129.19663
2019092905 84.46889 128.82501
2019092906 84.54231 128.60257
2019092907 84.54212 128.57869
2019092908 84.54194 128.54467
2019092909 84.54153 128.57607
2019092910 84.56433 129.42659
2019092911 84.64691 129.88348
2019092912 84.69726 130.64989
2019092913 84.7516 131.75887
2019092914 84.81248 132.88006
2019092915 84.85457 134.10231
2019092916 84.89847 135.02484
2019092917 84.95945 135.90913
2019092918 84.99068 136.86883
2019092919 85.06901 137.47299
2019092920 85.12095 138.12873
2019092921 85.11921 138.07856
2019092922 85.11775 138.01511
2019092923 85.12397 138.03845
2019093000 85.12441 137.98648
2019093001 85.12389 137.93745
2019093002 85.12301 137.89761
2019093003 85.12141 137.86352
2019093004 85.11902 137.8309
2019093005 85.11599 137.79486
2019093006 85.11249 137.75001
2019093007 85.10904 137.69561
2019093008 85.10606 137.63397
2019093009 85.10376 137.56843
2019093010 85.10199 137.50478
2019093011 85.10073 137.4468
2019093012 85.09931 137.39965
2019093013 85.09669 137.36571
2019093014 85.09328 137.33839
2019093015 85.08916 137.31367
2019093016 85.08431 137.28808
2019093017 85.07904 137.25708
2019093018 85.07394 137.22142
2019093019 85.06938 137.1795
2019093020 85.06568 137.13248
2019093021 85.06311 137.08482
2019093022 85.06171 137.03894
2019093023 85.06115 136.99905
2019100100 85.06107 136.96709
2019100101 85.06076 136.94463
2019100102 85.06013 136.92835
2019100103 85.05899 136.9169
2019100104 85.05725 136.90697
2019100105 85.05509 136.89401
2019100106 85.05271 136.8766
2019100107 85.05054 136.85455
2019100108 85.04901 136.82475
2019100109 85.04831 136.7931
2019100110 85.04876 136.75887
2019100111 85.05005 136.72531
2019100112 85.05188 136.69874
2019100113 85.05373 136.68084
2019100114 85.05525 136.66841
2019100115 85.05623 136.66041
2019100116 85.05675 136.654
2019100117 85.05684 136.64547
2019100118 85.05681 136.63073
2019100119 85.05694 136.60993
2019100120 85.05752 136.58324
2019100121 85.06228 136.30239
2019100122 85.12386 135.17714
2019100123 85.11998 134.54922
2019100200 85.12265 134.52707
2019100201 85.16646 134.41296
2019100202 85.16506 134.47377
2019100203 85.16672 134.47229
2019100204 85.1638 134.49252
2019100205 85.17085 134.40924
2019100206 85.16752 134.46453
2019100207 85.16746 134.4512
2019100208 85.16777 134.43306
2019100209 85.16875 134.40656
2019100210 85.16958 134.38349
2019100211 85.17145 134.35943
2019100212 85.17341 134.34171
2019100213 85.17614 134.3265
2019100214 85.17788 134.32151
2019100215 85.17921 134.31993
2019100216 85.18 134.31855
2019100217 85.18016 134.31477
2019100218 85.18006 134.30622
2019100219 85.18003 134.2912
2019100220 85.18023 134.2707
2019100221 85.18098 134.2445
2019100222 85.18182 134.21799
2019100223 85.18284 134.19397
2019100300 85.18421 134.17348
2019100301 85.1856 134.15437
2019100302 85.18676 134.13653
2019100303 85.18701 134.12019
2019100304 85.18604 134.11339
2019100305 85.15413 134.07517
2019100306 85.14625 134.00008
2019100307 85.14507 133.97205
2019100308 85.14355 133.94323
2019100309 85.14203 133.91305
2019100310 85.14084 133.87553
2019100311 85.13623 133.89783
2019100312 85.13583 133.85095
2019100313 85.13579 133.80523
2019100314 85.13559 133.76118
2019100315 85.13515 133.72033
2019100316 85.13404 133.68352
2019100317 85.13244 133.64204
2019100318 85.13074 133.59348
2019100319 85.12908 133.53818
2019100320 85.12753 133.47693
2019100321 85.12631 133.40563
2019100322 85.12541 133.32155
2019100323 85.12502 133.23712
2019100400 85.12514 133.15914
2019100401 85.12736 133.07569
2019100402 85.12776 132.994
2019100403 85.12676 132.90677
2019100404 85.12674 132.84519
2019100405 85.1261 132.78461
2019100406 85.12532 132.71819
2019100407 85.12474 132.66824
2019100408 85.1256 132.61519
2019100409 85.12768 132.51877
2019100410 85.1267 132.5704
2019100411 85.13365 133.28922
2019100412 85.12304 134.4739
2019100413 85.10471 134.98885
2019100414 85.07638 134.40418
2019100415 85.07669 134.35128
2019100416 85.07703 134.29846
2019100417 85.07717 134.25239
2019100418 85.07721 134.20725
2019100419 85.07721 134.16321
2019100420 85.07743 134.1191
2019100421 85.07797 134.07452
2019100422 85.07909 134.03137
2019100423 85.08069 133.99049
2019100500 85.0828 133.95246
2019100501 85.08521 133.91827
2019100502 85.08761 133.89095
2019100503 85.08962 133.87145
2019100504 85.09124 133.85546
2019100505 85.09228 133.84342
2019100506 85.09294 133.83157
2019100507 85.09355 133.81642
2019100508 85.09408 133.79911
2019100509 85.09485 133.7807
2019100510 85.0959 133.76336
2019100511 85.09732 133.74827
2019100512 85.09912 133.737
2019100513 85.10115 133.73006
2019100514 85.10326 133.72732
2019100515 85.10534 133.73003
2019100516 85.10708 133.73782
2019100517 85.10837 133.74738
2019100518 85.1089 133.75695
2019100519 85.10925 133.7636
2019100520 85.10929 133.76438
2019100521 85.10928 133.76296
2019100522 85.10929 133.76261
2019100523 85.10942 133.76433
2019100600 85.10954 133.76641
2019100601 85.10955 133.77084
2019100602 85.10957 133.78065
2019100603 85.10949 133.79472
2019100604 85.1092 133.80872
2019100605 85.10855 133.82034
2019100606 85.10768 133.82813
2019100607 85.10659 133.83295
2019100608 85.10537 133.83467
2019100609 85.10426 133.83692
2019100610 85.10342 133.84127
2019100611 85.10289 133.84783
2019100612 85.1025 133.85638
2019100613 85.10238 133.8671
2019100614 85.10234 133.88156
2019100615 85.10227 133.89948
2019100616 85.10209 133.92037
2019100617 85.10171 133.94472
2019100618 85.10101 133.97171
2019100619 85.09978 134.00132
2019100620 85.09815 134.03054
2019100621 85.09647 134.0542
2019100622 85.09483 134.07491
2019100623 85.0933 134.09552
2019100700 85.092 134.12032
2019100701 85.09101 134.14913
2019100702 85.09024 134.18184
2019100703 85.08922 134.21825
2019100704 85.08784 134.25626
2019100705 85.08614 134.29676
2019100706 85.08402 134.33844
2019100707 85.08177 134.37826
2019100708 85.07924 134.41526
2019100709 85.07678 134.45082
2019100710 85.07442 134.48828
2019100711 85.07196 134.53425
2019100712 85.06937 134.59095
2019100713 85.06647 134.65443
2019100714 85.06359 134.72002
2019100715 85.0603 134.7888
2019100716 85.05677 134.85404
2019100717 85.0529 134.91744
2019100718 85.04894 134.97992
2019100719 85.04492 135.04275
2019100720 85.04124 135.10512
2019100721 85.03797 135.17231
2019100722 85.03489 135.25062
2019100723 85.03112 135.34997
2019100800 85.02707 135.4531
2019100801 85.02302 135.5568
2019100802 85.01872 135.66083
2019100803 85.01393 135.76429
2019100804 85.00873 135.86106
2019100805 85.00318 135.95175
2019100806 84.99728 136.03333
2019100807 84.99113 136.10063
2019100808 84.98482 136.15565
2019100809 84.97849 136.19629
2019100810 84.97228 136.21766
2019100811 84.96587 136.22624
2019100812 84.95957 136.22656
2019100813 84.95397 136.22085
2019100814 84.94885 136.21491
2019100815 84.9445 136.20838
2019100816 84.9408 136.20387
2019100817 84.93744 136.20134
2019100818 84.93415 136.20121
2019100819 84.93041 136.19852
2019100820 84.92638 136.19078
2019100821 84.9226 136.17651
2019100822 84.91906 136.15799
2019100823 84.91588 136.13241
2019100900 84.91365 136.10305
2019100901 84.91195 136.07332
2019100902 84.9107 136.04524
2019100903 84.91018 136.02096
2019100904 84.91026 136.00269
2019100905 84.91014 135.99003
2019100906 84.91002 135.98194
2019100907 84.90944 135.97558
2019100908 84.90833 135.96795
2019100909 84.90681 135.95692
2019100910 84.90548 135.94221
2019100911 84.90452 135.92522
2019100912 84.90386 135.90962
2019100913 84.90342 135.8947
2019100914 84.90331 135.88206
2019100915 84.90374 135.8725
2019100916 84.90459 135.86466
2019100917 84.90574 135.85723
2019100918 84.90701 135.8484
2019100919 84.90835 135.83691
2019100920 84.90946 135.81951
2019100921 84.91043 135.7943
2019100922 84.91127 135.76168
2019100923 84.91205 135.72194
2019101000 84.91302 135.67641
2019101001 84.91429 135.62791
2019101002 84.91577 135.57798
2019101003 84.91749 135.52772
2019101004 84.9194 135.48031
2019101005 84.92108 135.4388
2019101006 84.92204 135.4037
2019101007 84.92231 135.37542
2019101008 84.92186 135.35403
2019101009 84.92085 135.32982
2019101010 84.91952 135.30543
2019101011 84.91791 135.27835
2019101012 84.91639 135.25181
2019101013 84.91506 135.22869
2019101014 84.91389 135.21103
2019101015 84.91298 135.20256
2019101016 84.9122 135.20351
2019101017 84.91135 135.2135
2019101018 84.91027 135.23613
2019101019 84.90858 135.26756
2019101020 84.90624 135.302
2019101021 84.9032 135.34026
2019101022 84.89956 135.37928
2019101023 84.89513 135.41596
2019101100 84.8904 135.44668
2019101101 84.88567 135.47119
2019101102 84.88099 135.49041
2019101103 84.87687 135.50524
2019101104 84.87344 135.52108
2019101105 84.87073 135.54044
2019101106 84.86803 135.56584
2019101107 84.86365 135.60118
2019101108 84.85842 135.63115
2019101109 84.85335 135.65038
2019101110 84.84873 135.66011
2019101111 84.84488 135.66446
2019101112 84.8417 135.66647
2019101113 84.83919 135.671
2019101114 84.83728 135.68117
2019101115 84.83576 135.69983
2019101116 84.8346 135.72354
2019101117 84.83366 135.75127
2019101118 84.83232 135.78213
2019101119 84.83078 135.8088
2019101120 84.82918 135.82961
2019101121 84.82792 135.84388
2019101122 84.82723 135.8496
2019101123 84.8274 135.84721
2019101200 84.82892 135.84011
2019101201 84.83155 135.83463
2019101202 84.83514 135.8344
2019101203 84.83927 135.83841
2019101204 84.84333 135.84265
2019101205 84.84704 135.8422
2019101206 84.85014 135.83774
2019101207 84.85251 135.82855
2019101208 84.85413 135.81286
2019101209 84.85513 135.78877
2019101210 84.85592 135.75538
2019101211 84.85679 135.71227
2019101212 84.8579 135.66241
2019101213 84.85929 135.61128
2019101214 84.86091 135.5639
2019101215 84.86246 135.52505
2019101216 84.86375 135.49469
2019101217 84.8645 135.4708
2019101218 84.86456 135.44921
2019101219 84.86396 135.42637
2019101220 84.86294 135.39778
2019101221 84.86185 135.36018
2019101222 84.86091 135.3134
2019101223 84.86029 135.26309
2019101300 84.86 135.21201
2019101301 84.86013 135.16226
2019101302 84.86031 135.11804
2019101303 84.86019 135.08126
2019101304 84.85963 135.05107
2019101305 84.85858 135.02475
2019101306 84.8571 134.99974
2019101307 84.85534 134.97319
2019101308 84.85344 134.94449
2019101309 84.85147 134.91253
2019101310 84.84946 134.87937
2019101311 84.84762 134.84875
2019101312 84.84593 134.82486
2019101313 84.84401 134.80941
2019101314 84.84185 134.80135
2019101315 84.83948 134.80425
2019101316 84.83661 134.81554
2019101317 84.83266 134.8305
2019101318 84.82743 134.84143
2019101319 84.82181 134.84282
2019101320 84.81655 134.83008
2019101321 84.81179 134.80589
2019101322 84.80704 134.77376
2019101323 84.80275 134.73344
2019101400 84.79903 134.69284
2019101401 84.7958 134.65701
2019101402 84.79276 134.62805
2019101403 84.78975 134.60324
2019101404 84.78703 134.58313
2019101405 84.78428 134.5667
2019101406 84.78149 134.55372
2019101407 84.77853 134.54143
2019101408 84.7753 134.52833
2019101409 84.77185 134.51108
2019101410 84.76869 134.48828
2019101411 84.76615 134.46195
2019101412 84.76422 134.43409
2019101413 84.76292 134.40862
2019101414 84.76207 134.38926
2019101415 84.76151 134.37782
2019101416 84.76104 134.37548
2019101417 84.76049 134.38118
2019101418 84.75975 134.39201
2019101419 84.7588 134.40394
2019101420 84.75775 134.41324
2019101421 84.75679 134.41686
2019101422 84.75611 134.41318
2019101423 84.75584 134.40215
2019101500 84.7561 134.38764
2019101501 84.75685 134.37297
2019101502 84.75796 134.36141
2019101503 84.75923 134.35483
2019101504 84.76043 134.35467
2019101505 84.76139 134.3586
2019101506 84.76194 134.36289
2019101507 84.76207 134.36595
2019101508 84.76188 134.36356
2019101509 84.76158 134.3536
2019101510 84.76132 134.33616
2019101511 84.76132 134.31268
2019101512 84.76169 134.28578
2019101513 84.76244 134.2591
2019101514 84.76342 134.2361
2019101515 84.76448 134.21872
2019101516 84.76534 134.20727
2019101517 84.7659 134.19937
2019101518 84.76594 134.18921
2019101519 84.7655 134.17059
2019101520 84.76444 134.14352
2019101521 84.7639 134.10877
2019101522 84.76317 134.05886
2019101523 84.76266 133.99864
2019101600 84.76269 133.93808
2019101601 84.76322 133.88174
2019101602 84.76405 133.83181
2019101603 84.76498 133.79118
2019101604 84.76559 133.76033
2019101605 84.76574 133.73552
2019101606 84.76519 133.71341
2019101607 84.76433 133.68869
2019101608 84.76298 133.66066
2019101609 84.76161 133.62563
2019101610 84.76055 133.5836
2019101611 84.75987 133.53686
2019101612 84.75979 133.48857
2019101613 84.76013 133.44104
2019101614 84.76094 133.39831
2019101615 84.76193 133.36264
2019101616 84.76274 133.33484
2019101617 84.76332 133.31354
2019101618 84.7632 133.29613
2019101619 84.76256 133.28069
2019101620 84.76133 133.26324
2019101621 84.76 133.2393
2019101622 84.75885 133.20828
2019101623 84.75785 133.16823
2019101700 84.75712 133.12121
2019101701 84.75672 133.07615
2019101702 84.75652 133.03817
2019101703 84.75654 133.00547
2019101704 84.75676 132.98073
2019101705 84.75695 132.9681
2019101706 84.75693 132.96537
2019101707 84.75651 132.96613
2019101708 84.75559 132.96582
2019101709 84.75444 132.96119
2019101710 84.75331 132.95269
2019101711 84.75234 132.94002
2019101712 84.75179 132.92744
2019101713 84.75166 132.91753
2019101714 84.7519 132.91332
2019101715 84.75259 132.91696
2019101716 84.75339 132.92858
2019101717 84.75428 132.94796
2019101718 84.75516 132.97282
2019101719 84.75592 132.9976
2019101720 84.75662 133.01919
2019101721 84.75747 133.03418
2019101722 84.75876 133.04191
2019101723 84.76082 133.04287
2019101800 84.76385 133.03974
2019101801 84.76763 133.03882
2019101802 84.77204 133.04185
2019101803 84.77684 133.04864
2019101804 84.78162 133.06171
2019101805 84.78643 133.07934
2019101806 84.79103 133.09984
2019101807 84.79525 133.11919
2019101808 84.79915 133.13413
2019101809 84.80315 133.14273
2019101810 84.80744 133.1447
2019101811 84.81229 133.14098
2019101812 84.81806 133.13321
2019101813 84.8245 133.1273
2019101814 84.83136 133.12493
2019101815 84.83893 133.12917
2019101816 84.84652 133.13865
2019101817 84.85358 133.15794
2019101818 84.85997 133.17833
2019101819 84.86554 133.20241
2019101820 84.87067 133.22079
2019101821 84.87568 133.23398
2019101822 84.881 133.2372
2019101823 84.88684 133.23204
2019101900 84.89314 133.22116
2019101901 84.89959 133.20585
2019101902 84.90586 133.1938
2019101903 84.91179 133.19251
2019101904 84.91661 133.19279
2019101905 84.9203 133.19261
2019101906 84.92317 133.18981
2019101907 84.9253 133.18287
2019101908 84.92723 133.17253
2019101909 84.92926 133.15721
2019101910 84.93165 133.13667
2019101911 84.93453 133.11146
2019101912 84.93798 133.08313
2019101913 84.94181 133.05369
2019101914 84.9458 133.02857
2019101915 84.94963 133.00858
2019101916 84.95301 132.99433
2019101917 84.95563 132.9837
2019101918 84.95741 132.97277
2019101919 84.95866 132.95973
2019101920 84.95952 132.94281
2019101921 84.9603 132.91931
2019101922 84.96115 132.89286
2019101923 84.96246 132.86489
2019102000 84.96443 132.83661
2019102001 84.96688 132.81004
2019102002 84.96967 132.788
2019102003 84.97268 132.77096
2019102004 84.97565 132.75884
2019102005 84.97829 132.75101
2019102006 84.98052 132.7456
2019102007 84.98247 132.73995
2019102008 84.98431 132.73222
2019102009 84.98617 132.72103
2019102010 84.98834 132.70699
2019102011 84.99106 132.69188
2019102012 84.99434 132.67696
2019102013 84.99825 132.66494
2019102014 85.00269 132.65798
2019102015 85.00756 132.65904
2019102016 85.01255 132.66995
2019102017 85.01757 132.69443
2019102018 85.02235 132.72583
2019102019 85.02672 132.75956
2019102020 85.0302 132.78813
2019102021 85.0331 132.80502
2019102022 85.03627 132.80459
2019102023 85.04049 132.79254
2019102100 85.04684 132.77865
2019102101 85.05402 132.76307
2019102102 85.06189 132.75011
2019102103 85.0698 132.74262
2019102104 85.07757 132.73883
2019102105 85.0849 132.73506
2019102106 85.09105 132.72766
2019102107 85.09604 132.71479
2019102108 85.10068 132.69167
2019102109 85.10538 132.65807
2019102110 85.11068 132.61511
2019102111 85.11675 132.56549
2019102112 85.12362 132.51328
2019102113 85.13094 132.46138
2019102114 85.1385 132.41235
2019102115 85.14597 132.36696
2019102116 85.153 132.32491
2019102117 85.15938 132.28462
2019102118 85.16515 132.24397
2019102119 85.17043 132.20188
2019102120 85.17557 132.1553
2019102121 85.181 132.10227
2019102122 85.18699 132.04345
2019102123 85.19367 131.98042
2019102200 85.20113 131.91707
2019102201 85.20889 131.85579
2019102202 85.21705 131.79728
2019102203 85.22526 131.74265
2019102204 85.23309 131.69194
2019102205 85.24025 131.64243
2019102206 85.2468 131.59025
2019102207 85.25262 131.53341
2019102208 85.25785 131.47088
2019102209 85.26262 131.40447
2019102210 85.26716 131.33508
2019102211 85.27155 131.26159
2019102212 85.27595 131.18697
2019102213 85.28036 131.11314
2019102214 85.28462 131.04107
2019102215 85.28906 130.9736
2019102216 85.29341 130.91095
2019102217 85.29755 130.85104
2019102218 85.3015 130.79747
2019102219 85.30523 130.74472
2019102220 85.30827 130.69303
2019102221 85.31124 130.63755
2019102222 85.31414 130.57963
2019102223 85.31735 130.51863
2019102300 85.32074 130.45651
2019102301 85.32421 130.39435
2019102302 85.3278 130.33219
2019102303 85.33128 130.27368
2019102304 85.33448 130.2201
2019102305 85.33725 130.16827
2019102306 85.33946 130.11948
2019102307 85.34133 130.07222
2019102308 85.34285 130.02398
2019102309 85.34424 129.97408
2019102310 85.34566 129.92562
2019102311 85.34717 129.88017
2019102312 85.34886 129.84029
2019102313 85.35068 129.80492
2019102314 85.35268 129.76965
2019102315 85.3548 129.73867
2019102316 85.35683 129.70913
2019102317 85.35871 129.67915
2019102318 85.36039 129.64965
2019102319 85.36188 129.61995
2019102320 85.36331 129.58951
2019102321 85.36478 129.5565
2019102322 85.36647 129.51872
2019102323 85.3685 129.4792
2019102400 85.37078 129.43986
2019102401 85.37376 129.39771
2019102402 85.37719 129.35766
2019102403 85.38089 129.3234
2019102404 85.38453 129.29121
2019102405 85.38783 129.25857
2019102406 85.39099 129.22392
2019102407 85.39376 129.18461
2019102408 85.39659 129.14427
2019102409 85.39908 129.09742
2019102410 85.40121 129.04575
2019102411 85.40377 128.99024
2019102412 85.40637 128.92926
2019102413 85.40927 128.86724
2019102414 85.41215 128.80574
2019102415 85.4151 128.74429
2019102416 85.41853 128.68517
2019102417 85.42167 128.63194
2019102418 85.42456 128.57991
2019102419 85.42693 128.52845
2019102420 85.42882 128.47611
2019102421 85.43026 128.42281
2019102422 85.43165 128.36819
2019102423 85.43315 128.31375
2019102500 85.43496 128.26025
2019102501 85.43685 128.21079
2019102502 85.43883 128.16351
2019102503 85.44076 128.12302
2019102504 85.44244 128.0892
2019102505 85.44375 128.0622
2019102506 85.44459 128.04017
2019102507 85.44511 128.01917
2019102508 85.44543 127.99486
2019102509 85.4457 127.96699
2019102510 85.44601 127.93638
2019102511 85.44636 127.90526
2019102512 85.44671 127.87511
2019102513 85.44724 127.84607
2019102514 85.44793 127.81935
2019102515 85.44869 127.79602
2019102516 85.44946 127.7769
2019102517 85.45011 127.76007
2019102518 85.45052 127.74184
2019102519 85.4506 127.72537
2019102520 85.45051 127.70693
2019102521 85.45028 127.68833
2019102522 85.45006 127.66604
2019102523 85.44997 127.64161
2019102600 85.45007 127.61648
2019102601 85.4504 127.59216
2019102602 85.45093 127.57033
2019102603 85.4516 127.55267
2019102604 85.45226 127.53868
2019102605 85.45285 127.52665
2019102606 85.4533 127.51499
2019102607 85.4536 127.50201
2019102608 85.45382 127.48588
2019102609 85.45403 127.46603
2019102610 85.45434 127.44215
2019102611 85.45479 127.4159
2019102612 85.45546 127.38835
2019102613 85.45639 127.36199
2019102614 85.45751 127.33803
2019102615 85.45873 127.31743
2019102616 85.45998 127.3002
2019102617 85.46118 127.28525
2019102618 85.46233 127.27121
2019102619 85.4634 127.25644
2019102620 85.46444 127.23909
2019102621 85.46555 127.21871
2019102622 85.46678 127.19401
2019102623 85.46823 127.16633
2019102700 85.46986 127.13798
2019102701 85.47175 127.11001
2019102702 85.47391 127.08313
2019102703 85.47629 127.05927
2019102704 85.47878 127.03933
2019102705 85.48122 127.02235
2019102706 85.48359 127.00526
2019102707 85.4858 126.98729
2019102708 85.48792 126.96651
2019102709 85.49002 126.94272
2019102710 85.49224 126.91673
2019102711 85.49462 126.88992
2019102712 85.49727 126.86343
2019102713 85.50007 126.83759
2019102714 85.50301 126.81295
2019102715 85.50615 126.78983
2019102716 85.50939 126.76986
2019102717 85.51266 126.75085
2019102718 85.51597 126.73195
2019102719 85.51919 126.70956
2019102720 85.5224 126.68195
2019102721 85.52568 126.65062
2019102722 85.52915 126.61393
2019102723 85.5329 126.5709
2019102800 85.53687 126.52665
2019102801 85.54106 126.48366
2019102802 85.54548 126.44319
2019102803 85.55001 126.40777
2019102804 85.5546 126.37689
2019102805 85.55919 126.35012
2019102806 85.56367 126.32463
2019102807 85.56798 126.29858
2019102808 85.57221 126.27093
2019102809 85.57651 126.24125
2019102810 85.58079 126.20955
2019102811 85.58506 126.17687
2019102812 85.58931 126.14485
2019102813 85.59328 126.11436
2019102814 85.59717 126.08467
2019102815 85.60111 126.05586
2019102816 85.60498 126.0314
2019102817 85.60857 126.00629
2019102818 85.6118 125.97741
2019102819 85.61487 125.9433
2019102820 85.61789 125.90492
2019102821 85.62095 125.86216
2019102822 85.62409 125.81638
2019102823 85.62734 125.76737
2019102900 85.63065 125.7153
2019102901 85.63408 125.66468
2019102902 85.63751 125.61984
2019102903 85.64078 125.58099
2019102904 85.64377 125.54551
