,time,lat,lon,10si
0,2019-09-20 17:00:00,69.67955,18.996640000000014,2.159043610095978
1,2019-09-20 18:00:00,69.67955,18.99664999999999,2.886102110147476
2,2019-09-20 19:00:00,69.68378,19.025270000000006,3.541448563337326
3,2019-09-20 20:00:00,69.80262,19.411339999999996,1.5288782864809036
4,2019-09-20 21:00:00,69.91434,19.895190000000014,1.69202122092247
5,2019-09-20 22:00:00,70.09253,20.230729999999994,2.3550649881362915
6,2019-09-20 23:00:00,70.28971,20.439639999999997,2.475793272256851
7,2019-09-21 00:00:00,70.46332,20.80802,2.519291430711746
8,2019-09-21 01:00:00,70.63522,21.17132000000001,2.779915153980255
9,2019-09-21 02:00:00,70.81119,21.542360000000002,4.585336446762085
10,2019-09-21 03:00:00,70.9619,22.01044999999999,5.504492253065109
11,2019-09-21 04:00:00,71.1125,22.52036000000001,2.4125640839338303
12,2019-09-21 05:00:00,71.26079,23.03522000000001,3.0545874387025833
13,2019-09-21 06:00:00,71.40394,23.544450000000012,3.2399933338165283
14,2019-09-21 07:00:00,71.54404,24.055209999999988,3.770216315984726
15,2019-09-21 08:00:00,71.67923,24.55958000000001,3.5941101908683777
16,2019-09-21 09:00:00,71.81303,25.072120000000012,4.981171652674675
17,2019-09-21 10:00:00,71.94108,25.57423,5.989163160324097
18,2019-09-21 11:00:00,72.06317,26.06438,3.4300821870565414
19,2019-09-21 12:00:00,72.14798,26.41001,3.441445842385292
20,2019-09-21 13:00:00,72.28545,26.85750999999999,3.96518312394619
21,2019-09-21 14:00:00,72.43329,27.34232,4.41410967707634
22,2019-09-21 15:00:00,72.58152,27.894110000000012,6.69893516600132
23,2019-09-21 16:00:00,72.74398,28.39975000000001,6.9823998510837555
24,2019-09-21 17:00:00,72.89066,28.92401000000001,6.4607637375593185
25,2019-09-21 18:00:00,73.03655,29.449810000000014,6.791255429387093
26,2019-09-21 19:00:00,73.17963,29.983389999999986,7.055065140128136
27,2019-09-21 20:00:00,73.32211,30.52913000000001,7.271357327699661
28,2019-09-21 21:00:00,73.46276,31.08256,7.365484714508057
29,2019-09-21 22:00:00,73.60168,31.643879999999996,7.59084889292717
30,2019-09-21 23:00:00,73.73809,32.209360000000004,7.296547740697861
31,2019-09-22 00:00:00,73.87609,32.79930000000002,5.947330474853516
32,2019-09-22 01:00:00,74.01256,33.399,5.821091502904892
33,2019-09-22 02:00:00,74.14396,33.99297999999999,5.841993451118469
34,2019-09-22 03:00:00,74.27761,34.614660000000015,5.939067646861076
35,2019-09-22 04:00:00,74.41307,35.26567,4.9230256378650665
36,2019-09-22 05:00:00,74.54602,35.923550000000006,4.8442031145095825
37,2019-09-22 06:00:00,74.67485,36.58058,3.085007533431053
38,2019-09-22 07:00:00,74.80356,37.2603,3.2675934731960297
39,2019-09-22 08:00:00,74.93098,37.95429999999999,4.8271626979112625
40,2019-09-22 09:00:00,75.05481,38.65163000000001,5.1121866106987
41,2019-09-22 10:00:00,75.17563,39.35640999999998,6.352142080664635
42,2019-09-22 11:00:00,75.29393,40.068839999999994,6.8439575135707855
43,2019-09-22 12:00:00,75.40777,40.777739999999994,7.943482622504234
44,2019-09-22 13:00:00,75.51823,41.490999999999985,7.914271280169487
45,2019-09-22 14:00:00,75.62692,42.21767,7.141594484448433
46,2019-09-22 15:00:00,75.73465,42.96285,7.2563845962285995
47,2019-09-22 16:00:00,75.84079,43.72071,7.793982967734337
48,2019-09-22 17:00:00,75.9433,44.49020999999999,7.943981915712357
49,2019-09-22 18:00:00,76.04395,45.269499999999994,7.6591833382844925
50,2019-09-22 19:00:00,76.13942,46.037859999999995,7.48891207575798
51,2019-09-22 20:00:00,76.23201,46.81399999999999,7.746271044015884
52,2019-09-22 21:00:00,76.3219,47.59904,8.392921790480614
53,2019-09-22 22:00:00,76.40849,48.38479000000001,8.413284569978714
54,2019-09-22 23:00:00,76.49318,49.18536,9.168910026550293
55,2019-09-23 00:00:00,76.57606,50.00448,9.67969062924385
56,2019-09-23 01:00:00,76.65608,50.83391,9.864949956536293
57,2019-09-23 02:00:00,76.73172,51.65111000000002,9.789256289601326
58,2019-09-23 03:00:00,76.80469,52.47719000000001,9.802437126636505
59,2019-09-23 04:00:00,76.87523,53.315889999999996,9.421866089105606
60,2019-09-23 05:00:00,76.94114,54.141520000000014,9.460915341973305
61,2019-09-23 06:00:00,77.03841,54.896270000000015,8.662802584469318
62,2019-09-23 07:00:00,77.16918,55.54668000000001,8.60314117372036
63,2019-09-23 08:00:00,77.29086,56.22830999999999,8.69759976863861
64,2019-09-23 09:00:00,77.39976,56.920950000000005,8.818963259458542
65,2019-09-23 10:00:00,77.51162,57.638149999999996,8.772485300898552
66,2019-09-23 11:00:00,77.62489,58.371340000000004,9.816074043512344
67,2019-09-23 12:00:00,77.73794,59.10919999999999,9.327235236763954
68,2019-09-23 13:00:00,77.84994,59.84746999999999,9.326255545020103
69,2019-09-23 14:00:00,77.96086,60.584599999999995,9.740970253944397
70,2019-09-23 15:00:00,78.07137,61.326040000000006,10.049200907349586
71,2019-09-23 16:00:00,78.1826,62.079679999999996,10.531297966837883
72,2019-09-23 17:00:00,78.29466,62.845489999999984,10.753846317529678
73,2019-09-23 18:00:00,78.40738,63.62313,11.03393466770649
74,2019-09-23 19:00:00,78.51854,64.39726000000002,10.957213789224625
75,2019-09-23 20:00:00,78.62929,65.17649,11.342775672674179
76,2019-09-23 21:00:00,78.73835,65.95028000000002,11.649101972579956
77,2019-09-23 22:00:00,78.84445,66.71087,11.578029572963715
78,2019-09-23 23:00:00,78.95201,67.48928000000001,11.635159373283386
79,2019-09-24 00:00:00,79.06006,68.27802,11.384596467018127
80,2019-09-24 01:00:00,79.16161,69.09532000000002,11.561595469713211
81,2019-09-24 02:00:00,79.26247,69.95997,11.685136139392853
82,2019-09-24 03:00:00,79.36694,70.86238,11.802300423383713
83,2019-09-24 04:00:00,79.4722,71.78125,11.857107996940613
84,2019-09-24 05:00:00,79.57664,72.70287000000002,10.710853040218353
85,2019-09-24 06:00:00,79.68288,73.64987000000002,10.7425047904253
86,2019-09-24 07:00:00,79.7929,74.63958,10.64278957247734
87,2019-09-24 08:00:00,79.92189,75.38209,10.60691723227501
88,2019-09-24 09:00:00,79.99599,76.42097000000001,10.242596760392189
89,2019-09-24 10:00:00,80.09275,77.35789999999997,9.650862008333206
90,2019-09-24 11:00:00,80.14151,78.40026999999998,9.485661193728447
91,2019-09-24 12:00:00,80.22707,79.29926,9.317060962319374
