,time,MOSAiC t2m obs,MOSAiC 10si obs,CARRA2 forecast t2m,CARRA2 forecast 10si,IFS-FESOM_2t_ctrl,IFS-FESOM_2t_hist,IFS-FESOM_10si_hist,IFS-FESOM_10si_ctrl,CARRA2 analysis t2m,CARRA2 analysis 10si
0,2020-02-01 01:00:00,-11.96459979722222,3.747948831270207,-20.36626281738279,8.233283042907715,-28.66972961425779,-25.87750091552735,4.104598820209503,4.295352712273598,,
1,2020-02-01 02:00:00,-11.746658808333335,1.8325202939744438,-23.846395874023415,10.367530822753906,-28.93749847412107,-26.15849914550779,4.05246576666832,4.060714244842529,,
2,2020-02-01 03:00:00,-15.856160452777777,8.901875374600953,-26.463232421874977,11.863866806030273,-29.396810913085886,-26.568083190917946,4.628848224878311,4.416702091693878,-26.463217163085915,11.66831362451194
3,2020-02-01 04:00:00,-23.342251716666667,14.937513236614675,-26.556646728515602,13.209183692932129,-29.92699279785154,-27.212728881835886,5.96214659512043,5.275437667965889,,
4,2020-02-01 05:00:00,-26.189543986111108,15.935840732357876,-27.83110656738279,14.605021476745605,-30.489424133300787,-28.35552825927735,8.121273152530193,6.680219389498234,,
5,2020-02-01 06:00:00,-28.047573841666672,15.702152075356432,-28.830023193359352,15.513792037963867,-31.239401245117165,-29.787130737304665,10.335812643170357,8.561562567949295,-28.83000793457029,15.26262959674932
6,2020-02-01 07:00:00,-29.536502449999997,15.115745980617875,-28.998480224609352,15.07995891571045,-32.091452026367165,-31.00761260986326,11.767690494656565,10.115172386169434,,
7,2020-02-01 08:00:00,-30.850428955555554,14.621564938158565,-30.13048400878904,13.694134712219238,-32.92107238769529,-32.04746856689451,12.590410307049751,11.34186738729477,,
8,2020-02-01 09:00:00,-32.02734821388889,13.957500827324134,-31.04173889160154,12.728739738464355,-33.727377319335886,-32.97071685791013,12.742213129997252,12.05063571035862,-31.04172363281248,12.618741274171043
9,2020-02-01 10:00:00,-32.46075943333333,13.313491785986171,-31.67174377441404,12.159095764160156,-34.52458801269529,-33.727507019042946,12.331038638949394,12.025187462568285,,
10,2020-02-01 11:00:00,-33.197568775,12.630968748167705,-32.75194396972654,11.360369682312012,-35.21232452392573,-34.22290649414063,11.749121755361555,11.727166503667831,,
11,2020-02-01 12:00:00,-34.032401025000006,11.402712941633638,-33.59129943847654,10.226917266845703,-35.72955932617191,-34.56121673583982,11.266335770487784,11.274135664105415,-33.59128417968748,9.934982978797052
12,2020-02-01 13:00:00,-34.82633735277778,10.633725078123812,-33.01749267578123,9.76321792602539,-36.16020812988279,-34.87698211669917,11.087733969092367,11.008061319589617,,
13,2020-02-01 14:00:00,-35.54564615277778,9.925624168172801,-33.60478820800779,8.866684913635254,-36.552946472167946,-35.18927612304685,10.728282675147057,10.480360090732574,,
14,2020-02-01 15:00:00,-36.504730725,9.288610737556697,-34.5446838378906,7.559877395629883,-36.87702789306638,-35.45195617675779,10.013936892151833,9.689286082983015,-34.54466857910154,7.56376708089374
15,2020-02-01 16:00:00,-37.13250292222222,8.124494272962346,-34.46921386718748,7.589449882507324,-37.13258209228513,-35.66197052001951,9.279243141412737,8.931513130664825,,
16,2020-02-01 17:00:00,-37.595682108333335,7.384350275205541,-35.12644042968748,6.7553510665893555,-37.334410095214764,-35.825827026367165,8.604665070772171,8.25791472196579,,
17,2020-02-01 18:00:00,-37.93636404722222,7.031777453290714,-35.89055480957029,5.727008819580078,-37.50041046142573,-35.95004119873042,7.864270001649857,7.460488140583038,-35.89061584472654,5.843876913218992
18,2020-02-01 19:00:00,-38.00850485277778,6.116654207181725,-35.94925537109373,4.950619220733643,-37.64667358398438,-36.06232299804685,7.213178098201752,6.855041369795799,,
19,2020-02-01 20:00:00,-37.99031401111111,4.675973149972456,-36.72167053222654,3.985161304473877,-37.776525878906256,-36.15821685791013,6.653290301561356,6.217556864023209,,
20,2020-02-01 21:00:00,-38.011918591666664,3.9059073192906717,-37.87088623046873,3.0629336833953857,-37.877706909179665,-36.22761383056638,6.028401404619217,5.581920221447945,-37.87087097167967,3.176121650962159
21,2020-02-01 22:00:00,-38.331688566666664,3.142549314876414,-38.85796203613279,2.3765060901641846,-37.94707336425779,-36.25964202880857,5.345251679420471,4.909546792507172,,
22,2020-02-01 23:00:00,-38.839221063888886,2.819858468536003,-38.28905334472654,1.9489582777023315,-37.98152008056638,-36.20796051025388,4.06346233189106,3.955734014511109,,
23,2020-02-02 00:00:00,-38.28064658611111,2.6524906299456115,-37.00021972656248,1.9985063076019287,-37.94734802246094,-36.08547821044917,3.196175053715706,2.954007923603058,-37.00018920898435,2.049209161865292
24,2020-02-02 01:00:00,-37.38447144444444,2.612026853945132,-35.443014526367165,1.5555405616760254,-37.83178558349607,-35.90052642822266,2.7525602132081985,2.2225000709295277,,
25,2020-02-02 02:00:00,-36.63558034444444,3.0508871129979145,-34.34573974609373,2.261981248855591,-37.67706146240229,-35.69315185546873,2.386203095316887,1.654455468058586,,
26,2020-02-02 03:00:00,-36.235440555555556,3.8075980076826266,-33.84300842285154,2.8197391033172607,-37.52178039550779,-35.414945983886696,2.428711533546448,1.6967241019010544,-33.84299316406248,2.7297566711495165
27,2020-02-02 04:00:00,-35.7218317,4.3574035484772375,-33.16824951171873,3.5419719219207764,-37.34238281249998,-35.089018249511696,3.087376549839973,2.0956213027238846,,
28,2020-02-02 05:00:00,-35.05150032777778,4.829921622786851,-32.66625061035154,4.483081817626953,-37.15851440429685,-34.72502746582029,3.7635316401720047,2.629301816225052,,
29,2020-02-02 06:00:00,-34.14532557222222,5.693691119761951,-32.32932128906248,5.193747520446777,-36.97132720947266,-34.40429534912107,4.539297297596932,3.3909755498170853,-32.329306030273415,5.177148575370666
30,2020-02-02 07:00:00,-33.77459083333333,6.222365528019846,-31.640325927734352,5.866605281829834,-36.80860748291013,-34.131254577636696,5.321993038058281,4.145580142736435,,
31,2020-02-02 08:00:00,-33.37353276666667,6.536960200004142,-31.294683837890602,6.677546977996826,-36.637594604492165,-33.91279449462888,5.871581241488457,4.670070990920067,,
32,2020-02-02 09:00:00,-33.11938108888889,7.38587683153832,-31.049993896484352,6.934447288513184,-36.52073516845701,-33.77668609619138,6.257188841700554,5.051009193062782,-31.04997863769529,6.926789415767416
33,2020-02-02 10:00:00,-32.75618950277778,7.6546976725999265,-31.101324462890602,6.94165563583374,-36.41926422119138,-33.68620910644529,6.68995775282383,5.413689091801643,,
34,2020-02-02 11:00:00,-33.17576183333333,7.242982928579401,-32.07543029785154,5.889034271240234,-36.42039337158198,-33.67369689941401,6.982732445001602,5.807077571749687,,
35,2020-02-02 12:00:00,-33.70784096388889,6.6048931712934165,-33.27934875488279,5.154458999633789,-36.5123352050781,-33.72038879394529,7.1387723833322525,5.942565053701401,-33.27933349609373,4.940052791149356
36,2020-02-02 13:00:00,-33.979125008333334,7.019382525257201,-34.00726928710935,4.730215549468994,-36.5648254394531,-33.76903381347654,7.172597095370293,6.151606306433678,,
37,2020-02-02 14:00:00,-34.16910503888889,6.989043565688424,-34.4758361816406,5.025864601135254,-36.59958496093748,-33.77106323242191,7.396572142839432,6.376631990075111,,
38,2020-02-02 15:00:00,-34.34894325,6.513565278435528,-34.643698120117165,4.927558422088623,-36.60290374755857,-33.76252593994138,7.581565096974373,6.666244804859161,-34.64366760253904,4.721358162991237
39,2020-02-02 16:00:00,-34.735009238888885,5.47221383403221,-34.777120971679665,4.683290958404541,-36.55821838378907,-33.73586883544917,7.747326195240021,6.76495099067688,,
40,2020-02-02 17:00:00,-34.84552423611111,5.415090642478866,-34.62921752929685,4.828855514526367,-36.47376861572266,-33.685079956054665,7.733967006206512,6.824719861149788,,
41,2020-02-02 18:00:00,-34.36749433888889,6.249295131477759,-34.5212463378906,4.618447303771973,-36.35082855224607,-33.57846679687498,7.768578842282295,6.90167248249054,-34.52123107910154,4.490436384963687
42,2020-02-02 19:00:00,-34.05952181944445,6.606408641637455,-33.402548217773415,5.1917901039123535,-36.13184967041013,-33.3826965332031,7.750251054763794,6.8720637410879135,,
43,2020-02-02 20:00:00,-33.62519287222222,7.4615627949833945,-32.29672851562498,6.0460052490234375,-35.90807952880857,-33.11655273437498,7.797980740666389,6.884940102696419,,
44,2020-02-02 21:00:00,-33.120898933333336,8.348624120705551,-31.360006713867165,6.414841651916504,-35.599012756347605,-32.72038879394529,7.8587400913238525,6.72059640288353,-31.34239807128904,6.406932606128976
45,2020-02-02 22:00:00,-32.15545437777778,9.245984008080887,-30.372885131835915,7.147961139678955,-35.059774780273415,-32.19098510742191,7.825354650616646,6.699867859482765,,
46,2020-02-02 23:00:00,-31.67593298611111,9.437089749860197,-29.736410522460915,7.739668846130371,-34.443869018554665,-31.605314636230418,7.765717774629593,6.931795135140419,,
47,2020-02-03 00:00:00,-31.041949141666667,9.198635668723854,-29.01341857910154,7.754871845245361,-33.78012695312498,-30.940092468261696,7.553792595863342,6.732101321220398,-29.03291931152341,7.704079818504397
48,2020-02-03 01:00:00,-30.297854591666667,9.198086974420564,-28.33727111816404,7.877477169036865,-33.09262695312498,-30.10173645019529,7.290347099304199,6.3460497707128525,,
49,2020-02-03 02:00:00,-29.85789432777778,9.131630627648137,-27.670248413085915,7.971385955810547,-32.360617065429665,-29.00464477539063,6.500235706567764,5.6498419642448425,,
50,2020-02-03 03:00:00,-29.099977061111108,9.06123402847006,-26.872152709960915,7.753511428833008,-31.30602874755857,-27.704862976074224,5.495229929685593,4.99661910533905,-26.87213745117185,7.827590399858309
51,2020-02-03 04:00:00,-28.338038119444445,8.67673039791591,-25.97447814941404,7.702058792114258,-30.03698577880857,-26.589308166503884,5.095127627253532,4.690579473972321,,
52,2020-02-03 05:00:00,-27.546915683333328,7.703099069078846,-25.068869018554665,7.31069278717041,-28.924215698242165,-25.57500305175779,5.035310909152031,4.901100188493729,,
53,2020-02-03 06:00:00,-26.024887822222222,7.107533038276141,-24.028219604492165,6.171640872955322,-28.202833557128884,-24.89636077880857,5.382885530591011,5.136620864272118,-24.030157470703102,6.139908696524799
